classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.993,0.993,0.993,0.993,0.76,0.92,0.92,0.919,0.919,0.76
gNB,0.98,0.979,0.979,0.979,0.69,0.834,0.814,0.809,0.811,0.69
SVM,0.974,0.972,0.972,0.972,0.76,0.874,0.867,0.864,0.865,0.76
DT,1.0,1.0,1.0,1.0,0.8,0.764,0.754,0.754,0.757,0.8
RF,0.993,0.993,0.993,0.993,0.74,0.838,0.838,0.838,0.838,0.74
KNN,0.862,0.862,0.862,0.862,0.76,0.787,0.782,0.782,0.784,0.76
LDA,1.0,1.0,1.0,1.0,0.7,0.811,0.811,0.811,0.811,0.7
mNB,0.912,0.91,0.91,0.91,0.79,0.896,0.893,0.892,0.892,0.79
ABC,1.0,1.0,1.0,1.0,0.78,0.812,0.81,0.81,0.811,0.78
GBC,1.0,1.0,1.0,1.0,0.82,0.92,0.92,0.919,0.919,0.81
ETC,1.0,1.0,1.0,1.0,0.77,0.975,0.972,0.973,0.973,0.76
BC,0.986,0.986,0.986,0.986,0.75,0.865,0.865,0.865,0.865,0.76
ENS-1,1.0,1.0,1.0,1.0,0.78,0.92,0.92,0.919,0.919,0.78
ENS-2,1.0,1.0,1.0,1.0,0.77,0.92,0.92,0.919,0.919,0.77
LogR,0.993,0.993,0.993,0.993,0.88,0.921,0.918,0.919,0.919,0.88
gNB,0.974,0.973,0.972,0.972,0.76,0.841,0.839,0.838,0.838,0.76
SVM,0.98,0.979,0.979,0.979,0.84,0.811,0.811,0.811,0.811,0.84
DT,1.0,1.0,1.0,1.0,0.85,0.811,0.811,0.811,0.811,0.85
RF,1.0,1.0,1.0,1.0,0.83,0.865,0.865,0.865,0.865,0.83
KNN,0.897,0.896,0.897,0.897,0.78,0.798,0.781,0.78,0.784,0.78
LDA,1.0,1.0,1.0,1.0,0.74,0.764,0.754,0.754,0.757,0.74
mNB,0.912,0.91,0.91,0.91,0.82,0.784,0.784,0.784,0.784,0.82
ABC,1.0,1.0,1.0,1.0,0.89,0.842,0.836,0.837,0.838,0.89
GBC,1.0,1.0,1.0,1.0,0.89,0.866,0.864,0.864,0.865,0.89
ETC,1.0,1.0,1.0,1.0,0.85,0.897,0.89,0.891,0.892,0.85
BC,0.993,0.993,0.993,0.993,0.89,0.876,0.863,0.863,0.865,0.88
ENS-1,1.0,1.0,1.0,1.0,0.88,0.921,0.918,0.919,0.919,0.88
ENS-2,0.993,0.993,0.993,0.993,0.86,0.921,0.918,0.919,0.919,0.86
LogR,0.993,0.993,0.993,0.993,0.88,0.921,0.918,0.919,0.919,0.88
gNB,0.974,0.973,0.972,0.972,0.76,0.841,0.839,0.838,0.838,0.76
SVM,0.98,0.979,0.979,0.979,0.84,0.811,0.811,0.811,0.811,0.84
DT,1.0,1.0,1.0,1.0,0.85,0.811,0.811,0.811,0.811,0.85
RF,1.0,1.0,1.0,1.0,0.83,0.865,0.865,0.865,0.865,0.83
KNN,0.897,0.896,0.897,0.897,0.78,0.798,0.781,0.78,0.784,0.78
LDA,1.0,1.0,1.0,1.0,0.74,0.764,0.754,0.754,0.757,0.74
mNB,0.912,0.91,0.91,0.91,0.82,0.784,0.784,0.784,0.784,0.82
ABC,1.0,1.0,1.0,1.0,0.89,0.842,0.836,0.837,0.838,0.89
GBC,1.0,1.0,1.0,1.0,0.88,0.842,0.836,0.837,0.838,0.89
ETC,1.0,1.0,1.0,1.0,0.83,0.897,0.89,0.891,0.892,0.83
BC,0.993,0.993,0.993,0.993,0.86,0.784,0.784,0.784,0.784,0.85
ENS-1,1.0,1.0,1.0,1.0,0.88,0.921,0.918,0.919,0.919,0.88
ENS-2,0.993,0.993,0.993,0.993,0.86,0.921,0.918,0.919,0.919,0.86
