classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.967,0.968,0.966,0.966,0.92,1.0,1.0,1.0,1.0,0.92
gNB,1.0,1.0,1.0,1.0,0.88,0.875,0.889,0.866,0.867,0.88
SVM,0.952,0.952,0.949,0.949,0.9,0.929,0.944,0.932,0.933,0.9
DT,1.0,1.0,1.0,1.0,0.88,0.929,0.944,0.932,0.933,0.88
RF,0.983,0.984,0.983,0.983,0.92,1.0,1.0,1.0,1.0,0.92
KNN,0.868,0.839,0.828,0.831,0.76,0.909,0.833,0.85,0.867,0.76
LDA,0.966,0.966,0.966,0.966,0.78,0.929,0.944,0.932,0.933,0.78
mNB,0.952,0.952,0.949,0.949,0.92,1.0,1.0,1.0,1.0,0.92
ABC,1.0,1.0,1.0,1.0,0.93,0.929,0.944,0.932,0.933,0.93
GBC,1.0,1.0,1.0,1.0,0.9,0.929,0.944,0.932,0.933,0.9
ETC,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.93
BC,0.967,0.968,0.966,0.966,0.88,0.861,0.861,0.861,0.867,0.88
ENS-1,1.0,1.0,1.0,1.0,0.89,0.929,0.944,0.932,0.933,0.89
ENS-2,0.967,0.968,0.966,0.966,0.89,0.929,0.944,0.932,0.933,0.89
LogR,0.966,0.969,0.966,0.966,0.93,1.0,1.0,1.0,1.0,0.93
gNB,1.0,1.0,1.0,1.0,0.87,0.857,0.9,0.861,0.867,0.87
SVM,0.95,0.953,0.949,0.949,0.92,0.917,0.95,0.928,0.933,0.92
DT,1.0,1.0,1.0,1.0,0.85,0.917,0.95,0.928,0.933,0.85
RF,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.93
KNN,0.865,0.844,0.829,0.831,0.81,0.917,0.8,0.83,0.867,0.81
LDA,1.0,1.0,1.0,1.0,0.73,1.0,1.0,1.0,1.0,0.73
mNB,0.95,0.953,0.949,0.949,0.93,1.0,1.0,1.0,1.0,0.93
ABC,1.0,1.0,1.0,1.0,0.92,0.917,0.95,0.928,0.933,0.92
GBC,1.0,1.0,1.0,1.0,0.89,0.917,0.95,0.928,0.933,0.91
ETC,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.96
BC,0.982,0.984,0.983,0.983,0.88,0.917,0.95,0.928,0.933,0.87
ENS-1,1.0,1.0,1.0,1.0,0.92,0.917,0.95,0.928,0.933,0.92
ENS-2,0.966,0.969,0.966,0.966,0.91,0.917,0.95,0.928,0.933,0.91
LogR,0.966,0.969,0.966,0.966,0.93,1.0,1.0,1.0,1.0,0.93
gNB,1.0,1.0,1.0,1.0,0.87,0.857,0.9,0.861,0.867,0.87
SVM,0.95,0.953,0.949,0.949,0.92,0.917,0.95,0.928,0.933,0.92
DT,1.0,1.0,1.0,1.0,0.85,0.917,0.95,0.928,0.933,0.85
RF,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.93
KNN,0.865,0.844,0.829,0.831,0.81,0.917,0.8,0.83,0.867,0.81
LDA,1.0,1.0,1.0,1.0,0.73,1.0,1.0,1.0,1.0,0.73
mNB,0.95,0.953,0.949,0.949,0.93,1.0,1.0,1.0,1.0,0.93
ABC,1.0,1.0,1.0,1.0,0.92,0.917,0.95,0.928,0.933,0.92
GBC,1.0,1.0,1.0,1.0,0.91,0.917,0.95,0.928,0.933,0.89
ETC,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.96
BC,0.966,0.969,0.966,0.966,0.92,0.85,0.85,0.85,0.867,0.86
ENS-1,1.0,1.0,1.0,1.0,0.92,0.917,0.95,0.928,0.933,0.92
ENS-2,0.966,0.969,0.966,0.966,0.91,0.917,0.95,0.928,0.933,0.91
