classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.989,0.989,0.989,0.989,0.84,0.956,0.956,0.956,0.957,0.84
gNB,0.974,0.971,0.972,0.972,0.89,0.956,0.956,0.956,0.957,0.89
SVM,0.978,0.978,0.978,0.978,0.88,0.933,0.9,0.909,0.913,0.88
DT,0.994,0.995,0.994,0.994,0.82,0.935,0.942,0.935,0.935,0.82
RF,0.989,0.989,0.989,0.989,0.86,0.889,0.892,0.89,0.891,0.86
KNN,0.909,0.904,0.905,0.906,0.81,0.845,0.848,0.846,0.848,0.81
LDA,0.994,0.995,0.994,0.994,0.85,0.912,0.912,0.912,0.913,0.85
mNB,0.917,0.913,0.911,0.911,0.83,0.87,0.831,0.839,0.848,0.83
ABC,0.994,0.995,0.994,0.994,0.85,0.932,0.937,0.934,0.935,0.85
GBC,0.994,0.995,0.994,0.994,0.85,0.892,0.887,0.889,0.891,0.85
ETC,0.994,0.995,0.994,0.994,0.88,0.981,0.975,0.978,0.978,0.86
BC,0.978,0.978,0.978,0.978,0.87,0.847,0.842,0.844,0.848,0.87
ENS-1,0.994,0.995,0.994,0.994,0.84,0.981,0.975,0.978,0.978,0.84
ENS-2,0.994,0.995,0.994,0.994,0.83,0.948,0.925,0.932,0.935,0.83
LogR,0.989,0.989,0.989,0.989,0.89,0.953,0.953,0.953,0.957,0.89
gNB,0.975,0.97,0.972,0.972,0.91,0.903,0.919,0.909,0.913,0.91
SVM,0.983,0.984,0.983,0.983,0.88,0.918,0.895,0.904,0.913,0.88
DT,0.994,0.995,0.994,0.994,0.9,0.881,0.902,0.887,0.891,0.9
RF,0.984,0.983,0.983,0.983,0.9,0.826,0.85,0.823,0.826,0.9
KNN,0.923,0.913,0.916,0.917,0.85,0.843,0.867,0.844,0.848,0.85
LDA,0.994,0.995,0.994,0.994,0.87,0.905,0.931,0.91,0.913,0.87
mNB,0.889,0.891,0.889,0.889,0.8,0.813,0.813,0.813,0.826,0.8
ABC,0.994,0.995,0.994,0.994,0.9,0.927,0.936,0.931,0.935,0.9
GBC,0.994,0.995,0.994,0.994,0.9,0.927,0.936,0.931,0.935,0.89
ETC,0.994,0.995,0.994,0.994,0.91,0.953,0.953,0.953,0.957,0.92
BC,0.99,0.988,0.989,0.989,0.88,0.817,0.838,0.821,0.826,0.88
ENS-1,0.994,0.995,0.994,0.994,0.9,0.953,0.953,0.953,0.957,0.9
ENS-2,0.994,0.995,0.994,0.994,0.9,0.983,0.971,0.976,0.978,0.9
LogR,0.989,0.989,0.989,0.989,0.89,0.953,0.953,0.953,0.957,0.89
gNB,0.975,0.97,0.972,0.972,0.91,0.903,0.919,0.909,0.913,0.91
SVM,0.983,0.984,0.983,0.983,0.88,0.918,0.895,0.904,0.913,0.88
DT,0.994,0.995,0.994,0.994,0.9,0.881,0.902,0.887,0.891,0.9
RF,0.984,0.983,0.983,0.983,0.9,0.826,0.85,0.823,0.826,0.9
KNN,0.923,0.913,0.916,0.917,0.85,0.843,0.867,0.844,0.848,0.85
LDA,0.994,0.995,0.994,0.994,0.87,0.905,0.931,0.91,0.913,0.87
mNB,0.889,0.891,0.889,0.889,0.8,0.813,0.813,0.813,0.826,0.8
ABC,0.994,0.995,0.994,0.994,0.9,0.927,0.936,0.931,0.935,0.9
GBC,0.994,0.995,0.994,0.994,0.9,0.927,0.936,0.931,0.935,0.9
ETC,0.994,0.995,0.994,0.994,0.91,0.953,0.953,0.953,0.957,0.91
BC,0.978,0.978,0.978,0.978,0.91,0.84,0.831,0.835,0.848,0.9
ENS-1,0.994,0.995,0.994,0.994,0.9,0.953,0.953,0.953,0.957,0.9
ENS-2,0.994,0.995,0.994,0.994,0.9,0.983,0.971,0.976,0.978,0.9
