classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.937,0.934,0.934,0.934,0.78,0.927,0.927,0.926,0.926,0.78
gNB,0.891,0.861,0.859,0.862,0.77,0.888,0.859,0.855,0.857,0.77
SVM,0.945,0.942,0.942,0.942,0.79,0.96,0.959,0.959,0.959,0.79
DT,0.957,0.955,0.955,0.955,0.81,0.961,0.959,0.958,0.959,0.81
RF,0.956,0.954,0.954,0.954,0.79,0.965,0.964,0.963,0.963,0.79
KNN,0.934,0.928,0.928,0.928,0.47,0.94,0.936,0.935,0.935,0.47
LDA,0.932,0.927,0.927,0.927,0.73,0.926,0.918,0.917,0.917,0.73
mNB,0.871,0.87,0.869,0.87,0.85,0.853,0.853,0.853,0.853,0.85
ABC,0.946,0.942,0.942,0.942,0.77,0.929,0.927,0.926,0.926,0.77
GBC,0.95,0.948,0.948,0.948,0.78,0.955,0.954,0.954,0.954,0.78
ETC,0.957,0.955,0.955,0.955,0.8,0.961,0.959,0.958,0.959,0.8
BC,0.955,0.953,0.953,0.953,0.84,0.961,0.959,0.958,0.959,0.82
ENS-1,0.952,0.949,0.949,0.949,0.79,0.961,0.959,0.958,0.959,0.79
ENS-2,0.948,0.946,0.946,0.946,0.78,0.961,0.959,0.958,0.959,0.78
LogR,0.933,0.931,0.931,0.931,0.87,0.941,0.941,0.94,0.94,0.87
gNB,0.89,0.858,0.856,0.859,0.85,0.893,0.869,0.865,0.866,0.85
SVM,0.943,0.94,0.94,0.94,0.86,0.969,0.968,0.968,0.968,0.86
DT,0.957,0.954,0.954,0.954,0.91,0.969,0.968,0.968,0.968,0.91
RF,0.954,0.951,0.951,0.952,0.91,0.96,0.959,0.959,0.959,0.91
KNN,0.931,0.924,0.924,0.924,0.55,0.942,0.937,0.935,0.935,0.55
LDA,0.928,0.922,0.922,0.923,0.8,0.932,0.928,0.926,0.926,0.8
mNB,0.869,0.867,0.867,0.867,0.86,0.882,0.881,0.88,0.88,0.86
ABC,0.946,0.942,0.942,0.942,0.84,0.949,0.946,0.945,0.945,0.84
GBC,0.952,0.949,0.949,0.949,0.87,0.964,0.964,0.963,0.963,0.87
ETC,0.957,0.954,0.954,0.954,0.9,0.965,0.964,0.963,0.963,0.88
BC,0.956,0.952,0.953,0.953,0.89,0.964,0.964,0.963,0.963,0.93
ENS-1,0.955,0.951,0.951,0.952,0.88,0.96,0.959,0.959,0.959,0.88
ENS-2,0.946,0.942,0.942,0.942,0.88,0.96,0.959,0.959,0.959,0.88
LogR,0.933,0.931,0.931,0.931,0.87,0.941,0.941,0.94,0.94,0.87
gNB,0.89,0.858,0.856,0.859,0.85,0.893,0.869,0.865,0.866,0.85
SVM,0.943,0.94,0.94,0.94,0.86,0.969,0.968,0.968,0.968,0.86
DT,0.957,0.954,0.954,0.954,0.91,0.969,0.968,0.968,0.968,0.91
RF,0.954,0.951,0.951,0.952,0.91,0.96,0.959,0.959,0.959,0.91
KNN,0.931,0.924,0.924,0.924,0.55,0.942,0.937,0.935,0.935,0.55
LDA,0.928,0.922,0.922,0.923,0.8,0.932,0.928,0.926,0.926,0.8
mNB,0.869,0.867,0.867,0.867,0.86,0.882,0.881,0.88,0.88,0.86
ABC,0.946,0.942,0.942,0.942,0.84,0.949,0.946,0.945,0.945,0.84
GBC,0.952,0.949,0.949,0.949,0.87,0.964,0.964,0.963,0.963,0.87
ETC,0.957,0.954,0.954,0.954,0.89,0.96,0.959,0.959,0.959,0.9
BC,0.953,0.95,0.95,0.95,0.93,0.964,0.964,0.963,0.963,0.91
ENS-1,0.955,0.951,0.951,0.952,0.88,0.96,0.959,0.959,0.959,0.88
ENS-2,0.946,0.942,0.942,0.942,0.88,0.96,0.959,0.959,0.959,0.88
