classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ETC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENS-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LogR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ETC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENS-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LogR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ETC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENS-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
