classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
SVM,0.96,0.958,0.959,0.959,0.962,0.929,0.942,0.947
RF,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
ETC,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
XGB,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
ENS-1,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
LogR,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
SVM,0.96,0.958,0.959,0.959,0.962,0.929,0.942,0.947
RF,0.972,0.972,0.972,0.973,0.962,0.929,0.942,0.947
ETC,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
XGB,0.986,0.987,0.986,0.986,0.9,0.786,0.808,0.842
ENS-1,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
LogR,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
SVM,0.96,0.958,0.959,0.959,0.962,0.929,0.942,0.947
RF,0.972,0.972,0.972,0.973,0.962,0.929,0.942,0.947
ETC,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
XGB,0.986,0.987,0.986,0.986,0.9,0.786,0.808,0.842
ENS-1,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
