classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.958,0.944,0.949,0.95,0.875,0.929,0.89,0.9
SVM,0.958,0.944,0.949,0.95,0.875,0.929,0.89,0.9
RF,0.978,0.972,0.975,0.975,0.875,0.929,0.89,0.9
ETC,1.0,1.0,1.0,1.0,0.875,0.929,0.89,0.9
XGB,0.958,0.944,0.949,0.95,0.8,0.857,0.792,0.8
LogR,0.94,0.917,0.923,0.925,0.75,0.786,0.697,0.7
SVM,0.94,0.917,0.923,0.925,0.875,0.929,0.89,0.9
RF,0.978,0.972,0.975,0.975,0.875,0.929,0.89,0.9
ETC,1.0,1.0,1.0,1.0,0.8,0.857,0.792,0.8
XGB,0.949,0.949,0.949,0.95,1.0,1.0,1.0,1.0
LogR,0.94,0.917,0.923,0.925,0.75,0.786,0.697,0.7
SVM,0.94,0.917,0.923,0.925,0.875,0.929,0.89,0.9
RF,0.978,0.972,0.975,0.975,0.875,0.929,0.89,0.9
ETC,1.0,1.0,1.0,1.0,0.875,0.929,0.89,0.9
XGB,0.949,0.949,0.949,0.95,1.0,1.0,1.0,1.0
