classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.962,0.96,0.961,0.961,0.927,0.933,0.928,0.928
SVM,0.978,0.976,0.977,0.977,0.967,0.972,0.969,0.969
RF,0.995,0.995,0.995,0.995,0.958,0.958,0.958,0.959
ETC,1.0,1.0,1.0,1.0,0.957,0.961,0.958,0.959
XGB,0.997,0.997,0.997,0.997,0.958,0.958,0.958,0.959
LogR,0.974,0.974,0.974,0.974,0.919,0.917,0.917,0.918
SVM,0.973,0.971,0.971,0.971,0.948,0.949,0.948,0.948
RF,0.997,0.997,0.997,0.997,0.928,0.927,0.928,0.928
ETC,1.0,1.0,1.0,1.0,0.949,0.948,0.948,0.948
XGB,1.0,1.0,1.0,1.0,0.928,0.927,0.928,0.928
LogR,0.974,0.974,0.974,0.974,0.919,0.917,0.917,0.918
SVM,0.973,0.971,0.971,0.971,0.948,0.949,0.948,0.948
RF,0.997,0.997,0.997,0.997,0.928,0.927,0.928,0.928
ETC,1.0,1.0,1.0,1.0,0.938,0.938,0.938,0.938
XGB,1.0,1.0,1.0,1.0,0.928,0.927,0.928,0.928
