classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.971,0.975,0.972,0.972,0.975,0.944,0.958,0.964
SVM,0.954,0.958,0.954,0.954,0.975,0.944,0.958,0.964
RF,0.99,0.992,0.991,0.991,0.975,0.944,0.958,0.964
ETC,0.99,0.992,0.991,0.991,0.975,0.944,0.958,0.964
XGB,0.981,0.981,0.981,0.981,0.975,0.944,0.958,0.964
LogR,0.962,0.966,0.963,0.963,0.975,0.944,0.958,0.964
SVM,0.954,0.958,0.954,0.954,0.975,0.944,0.958,0.964
RF,0.98,0.983,0.981,0.981,0.952,0.889,0.912,0.929
ETC,0.99,0.992,0.991,0.991,0.975,0.944,0.958,0.964
XGB,0.971,0.973,0.972,0.972,0.952,0.889,0.912,0.929
LogR,0.962,0.966,0.963,0.963,0.975,0.944,0.958,0.964
SVM,0.954,0.958,0.954,0.954,0.975,0.944,0.958,0.964
RF,0.98,0.983,0.981,0.981,0.952,0.889,0.912,0.929
ETC,0.99,0.992,0.991,0.991,0.975,0.944,0.958,0.964
XGB,0.971,0.973,0.972,0.972,0.952,0.889,0.912,0.929
