classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.962,0.96,0.961,0.961,0.927,0.933,0.928,0.928
SVM,0.854,0.822,0.821,0.826,0.842,0.838,0.825,0.825
RF,0.995,0.995,0.995,0.995,0.958,0.958,0.958,0.959
ETC,1.0,1.0,1.0,1.0,0.967,0.972,0.969,0.969
XGB,0.997,0.997,0.997,0.997,0.958,0.958,0.958,0.959
LogR,0.974,0.974,0.974,0.974,0.919,0.917,0.917,0.918
SVM,0.864,0.838,0.836,0.839,0.833,0.818,0.813,0.814
RF,0.997,0.997,0.997,0.997,0.928,0.927,0.928,0.928
ETC,1.0,1.0,1.0,1.0,0.938,0.938,0.938,0.938
XGB,1.0,1.0,1.0,1.0,0.928,0.927,0.928,0.928
LogR,0.974,0.974,0.974,0.974,0.919,0.917,0.917,0.918
SVM,0.864,0.838,0.836,0.839,0.833,0.818,0.813,0.814
RF,0.997,0.997,0.997,0.997,0.928,0.927,0.928,0.928
ETC,1.0,1.0,1.0,1.0,0.917,0.917,0.917,0.918
XGB,1.0,1.0,1.0,1.0,0.928,0.927,0.928,0.928
