classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.967,0.968,0.966,0.966,1.0,1.0,1.0,1.0
SVM,0.952,0.952,0.949,0.949,0.929,0.944,0.932,0.933
RF,0.983,0.984,0.983,0.983,1.0,1.0,1.0,1.0
ETC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB,0.967,0.968,0.966,0.966,0.95,0.917,0.928,0.933
LogR,0.966,0.969,0.966,0.966,1.0,1.0,1.0,1.0
SVM,0.95,0.953,0.949,0.949,0.917,0.95,0.928,0.933
RF,0.982,0.984,0.983,0.983,1.0,1.0,1.0,1.0
ETC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB,0.966,0.969,0.966,0.966,1.0,1.0,1.0,1.0
LogR,0.966,0.969,0.966,0.966,1.0,1.0,1.0,1.0
SVM,0.95,0.953,0.949,0.949,0.917,0.95,0.928,0.933
RF,0.982,0.984,0.983,0.983,1.0,1.0,1.0,1.0
ETC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB,0.966,0.969,0.966,0.966,1.0,1.0,1.0,1.0
