classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.989,0.989,0.989,0.989,0.956,0.956,0.956,0.957
SVM,0.978,0.978,0.978,0.978,0.933,0.9,0.909,0.913
RF,0.994,0.995,0.994,0.994,0.889,0.892,0.89,0.891
ETC,0.994,0.995,0.994,0.994,0.956,0.956,0.956,0.957
XGB,0.994,0.995,0.994,0.994,0.911,0.917,0.912,0.913
LogR,0.989,0.989,0.989,0.989,0.953,0.953,0.953,0.957
SVM,0.983,0.984,0.983,0.983,0.918,0.895,0.904,0.913
RF,0.985,0.982,0.983,0.983,0.843,0.867,0.844,0.848
ETC,0.994,0.995,0.994,0.994,0.983,0.971,0.976,0.978
XGB,0.994,0.995,0.994,0.994,0.953,0.953,0.953,0.957
LogR,0.989,0.989,0.989,0.989,0.953,0.953,0.953,0.957
SVM,0.983,0.984,0.983,0.983,0.918,0.895,0.904,0.913
RF,0.985,0.982,0.983,0.983,0.843,0.867,0.844,0.848
ETC,0.994,0.995,0.994,0.994,0.953,0.953,0.953,0.957
XGB,0.994,0.995,0.994,0.994,0.953,0.953,0.953,0.957
