classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.958,0.944,0.949,0.95,0.84,0.875,0.929,0.89,0.9,0.84
gNB,0.958,0.944,0.949,0.95,0.86,1.0,1.0,1.0,1.0,0.86
SVM,0.958,0.944,0.949,0.95,0.88,0.875,0.929,0.89,0.9,0.88
DT,1.0,1.0,1.0,1.0,0.83,0.762,0.762,0.762,0.8,0.83
RF,1.0,1.0,1.0,1.0,0.84,0.875,0.929,0.89,0.9,0.84
KNN,0.893,0.833,0.84,0.85,0.73,0.8,0.857,0.792,0.8,0.73
LDA,1.0,1.0,1.0,1.0,0.79,0.625,0.595,0.6,0.7,0.79
mNB,0.906,0.894,0.898,0.9,0.84,0.875,0.929,0.89,0.9,0.84
ABC,1.0,1.0,1.0,1.0,0.82,0.762,0.762,0.762,0.8,0.82
GBC,1.0,1.0,1.0,1.0,0.78,0.875,0.929,0.89,0.9,0.8
ETC,1.0,1.0,1.0,1.0,0.84,0.875,0.929,0.89,0.9,0.84
BC,0.978,0.972,0.975,0.975,0.8,0.625,0.595,0.6,0.7,0.8
ENS-1,1.0,1.0,1.0,1.0,0.86,0.875,0.929,0.89,0.9,0.86
ENS-2,0.958,0.944,0.949,0.95,0.9,0.875,0.929,0.89,0.9,0.9
