classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.963,0.961,0.961,0.961,0.76,0.94,0.934,0.935,0.935,0.76
gNB,0.946,0.945,0.945,0.945,0.77,0.912,0.909,0.91,0.91,0.77
SVM,0.971,0.97,0.97,0.97,0.82,0.957,0.954,0.955,0.955,0.82
DT,0.989,0.989,0.989,0.989,0.82,0.961,0.959,0.96,0.96,0.82
RF,0.988,0.988,0.987,0.987,0.78,0.938,0.934,0.935,0.935,0.78
KNN,0.942,0.942,0.942,0.942,0.78,0.91,0.91,0.91,0.91,0.78
LDA,0.964,0.963,0.962,0.962,0.88,0.94,0.934,0.935,0.935,0.88
mNB,0.915,0.91,0.911,0.911,0.83,0.858,0.857,0.855,0.855,0.83
ABC,0.976,0.976,0.976,0.976,0.77,0.952,0.949,0.95,0.95,0.77
GBC,0.983,0.982,0.982,0.982,0.85,0.961,0.959,0.96,0.96,0.85
ETC,0.989,0.989,0.989,0.989,0.79,0.961,0.959,0.96,0.96,0.76
BC,0.988,0.988,0.987,0.987,0.82,0.957,0.954,0.955,0.955,0.82
ENS-1,0.985,0.985,0.985,0.985,0.82,0.961,0.959,0.96,0.96,0.82
ENS-2,0.981,0.981,0.981,0.981,0.84,0.961,0.959,0.96,0.96,0.84
