classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.986,0.987,0.986,0.986,0.94,0.962,0.929,0.942,0.947,0.94
gNB,0.986,0.987,0.986,0.986,0.96,1.0,1.0,1.0,1.0,0.96
SVM,0.96,0.958,0.959,0.959,0.94,0.962,0.929,0.942,0.947,0.94
DT,0.986,0.987,0.986,0.986,0.93,0.962,0.929,0.942,0.947,0.93
RF,0.986,0.987,0.986,0.986,0.93,0.962,0.929,0.942,0.947,0.93
KNN,0.915,0.91,0.904,0.904,0.86,0.962,0.929,0.942,0.947,0.86
LDA,0.986,0.987,0.986,0.986,0.83,0.962,0.929,0.942,0.947,0.83
mNB,0.96,0.958,0.959,0.959,0.94,0.962,0.929,0.942,0.947,0.94
ABC,0.986,0.987,0.986,0.986,0.93,0.962,0.929,0.942,0.947,0.93
GBC,0.986,0.987,0.986,0.986,0.91,0.962,0.929,0.942,0.947,0.91
ETC,0.986,0.987,0.986,0.986,0.93,0.962,0.929,0.942,0.947,0.93
BC,0.986,0.987,0.986,0.986,0.91,0.887,0.887,0.887,0.895,0.93
ENS-1,0.986,0.987,0.986,0.986,0.93,0.962,0.929,0.942,0.947,0.93
ENS-2,0.986,0.987,0.986,0.986,0.93,0.962,0.929,0.942,0.947,0.93
