classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.937,0.934,0.934,0.934,0.78,0.927,0.927,0.926,0.926,0.78
gNB,0.891,0.861,0.859,0.862,0.77,0.888,0.859,0.855,0.857,0.77
SVM,0.945,0.942,0.942,0.942,0.79,0.96,0.959,0.959,0.959,0.79
DT,0.957,0.955,0.955,0.955,0.81,0.961,0.959,0.958,0.959,0.81
RF,0.956,0.954,0.954,0.954,0.79,0.965,0.964,0.963,0.963,0.79
KNN,0.93,0.924,0.924,0.924,0.47,0.944,0.941,0.94,0.94,0.47
LDA,0.932,0.927,0.927,0.927,0.73,0.926,0.918,0.917,0.917,0.73
mNB,0.871,0.87,0.869,0.87,0.85,0.853,0.853,0.853,0.853,0.85
ABC,0.946,0.942,0.942,0.942,0.77,0.929,0.927,0.926,0.926,0.77
GBC,0.95,0.948,0.948,0.948,0.78,0.955,0.954,0.954,0.954,0.78
ETC,0.957,0.955,0.955,0.955,0.81,0.961,0.959,0.958,0.959,0.8
BC,0.958,0.955,0.955,0.955,0.79,0.964,0.964,0.963,0.963,0.83
ENS-1,0.952,0.949,0.949,0.949,0.79,0.961,0.959,0.958,0.959,0.79
ENS-2,0.948,0.946,0.946,0.946,0.78,0.961,0.959,0.958,0.959,0.78
