classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.958,0.944,0.949,0.95,0.84,0.875,0.929,0.89,0.9,0.84
gNB,0.958,0.944,0.949,0.95,0.86,1.0,1.0,1.0,1.0,0.86
SVM,0.958,0.944,0.949,0.95,0.88,0.875,0.929,0.89,0.9,0.88
DT,1.0,1.0,1.0,1.0,0.9,0.625,0.595,0.6,0.7,0.9
RF,0.978,0.972,0.975,0.975,0.82,0.875,0.929,0.89,0.9,0.82
KNN,0.879,0.806,0.811,0.825,0.73,0.75,0.786,0.697,0.7,0.73
LDA,1.0,1.0,1.0,1.0,0.79,0.625,0.595,0.6,0.7,0.79
mNB,0.906,0.894,0.898,0.9,0.84,0.875,0.929,0.89,0.9,0.84
ABC,1.0,1.0,1.0,1.0,0.81,0.762,0.762,0.762,0.8,0.84
GBC,1.0,1.0,1.0,1.0,0.9,0.762,0.762,0.762,0.8,0.9
ETC,1.0,1.0,1.0,1.0,0.86,0.875,0.929,0.89,0.9,0.86
BC,0.958,0.944,0.949,0.95,0.8,0.8,0.857,0.792,0.8,0.86
ENS-1,1.0,1.0,1.0,1.0,0.88,0.875,0.929,0.89,0.9,0.88
ENS-2,0.958,0.944,0.949,0.95,0.88,0.875,0.929,0.89,0.9,0.88
LogR,0.94,0.917,0.923,0.925,0.82,0.75,0.786,0.697,0.7,0.82
gNB,0.958,0.944,0.949,0.95,0.87,1.0,1.0,1.0,1.0,0.87
SVM,0.94,0.917,0.923,0.925,0.88,0.875,0.929,0.89,0.9,0.88
DT,1.0,1.0,1.0,1.0,0.84,0.875,0.929,0.89,0.9,0.84
RF,0.978,0.972,0.975,0.975,0.87,0.875,0.929,0.89,0.9,0.87
KNN,0.855,0.75,0.748,0.775,0.77,0.714,0.714,0.6,0.6,0.77
LDA,1.0,1.0,1.0,1.0,0.84,0.4,0.381,0.375,0.4,0.84
mNB,0.868,0.838,0.844,0.85,0.84,0.8,0.857,0.792,0.8,0.84
ABC,1.0,1.0,1.0,1.0,0.8,0.875,0.929,0.89,0.9,0.8
GBC,1.0,1.0,1.0,1.0,0.82,0.875,0.929,0.89,0.9,0.82
ETC,1.0,1.0,1.0,1.0,0.84,0.8,0.857,0.792,0.8,0.84
BC,0.958,0.944,0.949,0.95,0.88,0.762,0.762,0.762,0.8,0.84
ENS-1,1.0,1.0,1.0,1.0,0.84,0.875,0.929,0.89,0.9,0.84
ENS-2,0.94,0.917,0.923,0.925,0.88,0.875,0.929,0.89,0.9,0.88
LogR,0.94,0.917,0.923,0.925,0.82,0.75,0.786,0.697,0.7,0.82
gNB,0.958,0.944,0.949,0.95,0.87,1.0,1.0,1.0,1.0,0.87
SVM,0.94,0.917,0.923,0.925,0.88,0.875,0.929,0.89,0.9,0.88
DT,1.0,1.0,1.0,1.0,0.84,0.875,0.929,0.89,0.9,0.84
RF,0.978,0.972,0.975,0.975,0.87,0.875,0.929,0.89,0.9,0.87
KNN,0.855,0.75,0.748,0.775,0.77,0.714,0.714,0.6,0.6,0.77
LDA,1.0,1.0,1.0,1.0,0.84,0.4,0.381,0.375,0.4,0.84
mNB,0.868,0.838,0.844,0.85,0.84,0.8,0.857,0.792,0.8,0.84
ABC,1.0,1.0,1.0,1.0,0.8,0.875,0.929,0.89,0.9,0.8
GBC,1.0,1.0,1.0,1.0,0.82,0.875,0.929,0.89,0.9,0.82
ETC,1.0,1.0,1.0,1.0,0.86,0.8,0.857,0.792,0.8,0.86
BC,1.0,1.0,1.0,1.0,0.88,0.762,0.762,0.762,0.8,0.87
ENS-1,1.0,1.0,1.0,1.0,0.84,0.875,0.929,0.89,0.9,0.84
ENS-2,0.94,0.917,0.923,0.925,0.88,0.875,0.929,0.89,0.9,0.88
