classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.963,0.961,0.961,0.961,0.76,0.94,0.934,0.935,0.935,0.76
gNB,0.946,0.945,0.945,0.945,0.77,0.912,0.909,0.91,0.91,0.77
SVM,0.971,0.97,0.97,0.97,0.82,0.957,0.954,0.955,0.955,0.82
DT,0.989,0.989,0.989,0.989,0.82,0.961,0.959,0.96,0.96,0.82
RF,0.988,0.988,0.987,0.987,0.78,0.938,0.934,0.935,0.935,0.78
KNN,0.947,0.947,0.947,0.947,0.78,0.915,0.915,0.915,0.915,0.78
LDA,0.964,0.963,0.962,0.962,0.88,0.94,0.934,0.935,0.935,0.88
mNB,0.915,0.91,0.911,0.911,0.83,0.858,0.857,0.855,0.855,0.83
ABC,0.976,0.976,0.976,0.976,0.77,0.952,0.949,0.95,0.95,0.77
GBC,0.983,0.982,0.982,0.982,0.85,0.961,0.959,0.96,0.96,0.85
ETC,0.989,0.989,0.989,0.989,0.78,0.956,0.955,0.955,0.955,0.77
BC,0.987,0.987,0.987,0.987,0.84,0.961,0.959,0.96,0.96,0.85
ENS-1,0.985,0.985,0.985,0.985,0.82,0.961,0.959,0.96,0.96,0.82
ENS-2,0.981,0.981,0.981,0.981,0.84,0.961,0.959,0.96,0.96,0.84
LogR,0.963,0.961,0.961,0.961,0.8,0.942,0.939,0.94,0.94,0.8
gNB,0.948,0.946,0.946,0.946,0.78,0.928,0.924,0.925,0.925,0.78
SVM,0.972,0.971,0.971,0.971,0.8,0.952,0.949,0.95,0.95,0.8
DT,0.989,0.989,0.989,0.989,0.8,0.92,0.92,0.92,0.92,0.8
RF,0.988,0.988,0.987,0.987,0.79,0.937,0.934,0.935,0.935,0.79
KNN,0.951,0.951,0.951,0.951,0.83,0.896,0.894,0.895,0.895,0.83
LDA,0.955,0.953,0.952,0.952,0.87,0.927,0.918,0.919,0.92,0.87
mNB,0.917,0.914,0.914,0.915,0.79,0.889,0.882,0.88,0.88,0.79
ABC,0.974,0.974,0.974,0.974,0.76,0.948,0.944,0.945,0.945,0.76
GBC,0.984,0.984,0.984,0.984,0.81,0.948,0.944,0.945,0.945,0.81
ETC,0.989,0.989,0.989,0.989,0.77,0.952,0.949,0.95,0.95,0.77
BC,0.989,0.989,0.989,0.989,0.78,0.948,0.944,0.945,0.945,0.8
ENS-1,0.986,0.986,0.986,0.986,0.8,0.948,0.944,0.945,0.945,0.8
ENS-2,0.984,0.984,0.984,0.984,0.81,0.952,0.949,0.95,0.95,0.81
LogR,0.963,0.961,0.961,0.961,0.8,0.942,0.939,0.94,0.94,0.8
gNB,0.948,0.946,0.946,0.946,0.78,0.928,0.924,0.925,0.925,0.78
SVM,0.972,0.971,0.971,0.971,0.8,0.952,0.949,0.95,0.95,0.8
DT,0.989,0.989,0.989,0.989,0.8,0.92,0.92,0.92,0.92,0.8
RF,0.988,0.988,0.987,0.987,0.79,0.937,0.934,0.935,0.935,0.79
KNN,0.951,0.951,0.951,0.951,0.83,0.896,0.894,0.895,0.895,0.83
LDA,0.955,0.953,0.952,0.952,0.87,0.927,0.918,0.919,0.92,0.87
mNB,0.917,0.914,0.914,0.915,0.79,0.889,0.882,0.88,0.88,0.79
ABC,0.974,0.974,0.974,0.974,0.76,0.948,0.944,0.945,0.945,0.76
GBC,0.984,0.984,0.984,0.984,0.81,0.948,0.944,0.945,0.945,0.81
ETC,0.989,0.989,0.989,0.989,0.76,0.952,0.949,0.95,0.95,0.76
BC,0.986,0.986,0.986,0.986,0.77,0.948,0.944,0.945,0.945,0.82
ENS-1,0.986,0.986,0.986,0.986,0.8,0.948,0.944,0.945,0.945,0.8
ENS-2,0.984,0.984,0.984,0.984,0.81,0.952,0.949,0.95,0.95,0.81
