classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.958,0.944,0.949,0.95,0.875,0.929,0.89,0.9
gNB,0.958,0.944,0.949,0.95,1.0,1.0,1.0,1.0
SVM,0.958,0.944,0.949,0.95,0.875,0.929,0.89,0.9
DT,1.0,1.0,1.0,1.0,0.625,0.595,0.6,0.7
RF,0.978,0.972,0.975,0.975,0.875,0.929,0.89,0.9
KNN,0.879,0.806,0.811,0.825,0.75,0.786,0.697,0.7
LDA,1.0,1.0,1.0,1.0,0.625,0.595,0.6,0.7
mNB,0.906,0.894,0.898,0.9,0.875,0.929,0.89,0.9
ABC,1.0,1.0,1.0,1.0,0.762,0.762,0.762,0.8
GBC,1.0,1.0,1.0,1.0,0.762,0.762,0.762,0.8
ETC,1.0,1.0,1.0,1.0,0.875,0.929,0.89,0.9
BC,0.958,0.944,0.949,0.95,0.762,0.762,0.762,0.8
ENS-1,1.0,1.0,1.0,1.0,0.875,0.929,0.89,0.9
ENS-2,0.958,0.944,0.949,0.95,0.875,0.929,0.89,0.9
