classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,1.0,1.0,1.0,1.0,0.714,0.667,0.55,0.556
gNB,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
SVM,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
DT,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
RF,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
KNN,0.913,0.875,0.881,0.886,0.167,0.5,0.25,0.333
LDA,0.975,0.969,0.971,0.971,0.714,0.667,0.55,0.556
mNB,1.0,1.0,1.0,1.0,0.714,0.667,0.55,0.556
ABC,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
GBC,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
ETC,1.0,1.0,1.0,1.0,0.714,0.667,0.55,0.556
BC,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
ENS-1,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
ENS-2,1.0,1.0,1.0,1.0,0.75,0.75,0.667,0.667
