classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.971,0.975,0.972,0.972,0.975,0.944,0.958,0.964
gNB,0.971,0.975,0.972,0.972,0.909,0.947,0.922,0.929
SVM,0.954,0.958,0.954,0.954,0.975,0.944,0.958,0.964
DT,0.99,0.992,0.991,0.991,0.975,0.944,0.958,0.964
RF,0.99,0.992,0.991,0.991,0.975,0.944,0.958,0.964
KNN,0.858,0.846,0.833,0.833,0.896,0.722,0.75,0.821
LDA,0.99,0.992,0.991,0.991,0.918,0.918,0.918,0.929
mNB,0.934,0.937,0.935,0.935,0.952,0.889,0.913,0.929
ABC,0.99,0.992,0.991,0.991,0.975,0.944,0.958,0.964
GBC,0.99,0.992,0.991,0.991,0.975,0.944,0.958,0.964
ETC,0.99,0.992,0.991,0.991,0.975,0.944,0.958,0.964
BC,0.971,0.975,0.972,0.972,0.975,0.944,0.958,0.964
ENS-1,0.99,0.992,0.991,0.991,0.975,0.944,0.958,0.964
ENS-2,0.971,0.975,0.972,0.972,0.975,0.944,0.958,0.964
