classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.993,0.993,0.993,0.993,0.76,0.92,0.92,0.919,0.919,0.76
gNB,0.98,0.979,0.979,0.979,0.69,0.834,0.814,0.809,0.811,0.69
SVM,0.974,0.972,0.972,0.972,0.76,0.874,0.867,0.864,0.865,0.76
DT,1.0,1.0,1.0,1.0,0.8,0.764,0.754,0.754,0.757,0.8
RF,0.993,0.993,0.993,0.993,0.74,0.838,0.838,0.838,0.838,0.74
KNN,0.862,0.862,0.862,0.862,0.76,0.787,0.782,0.782,0.784,0.76
LDA,1.0,1.0,1.0,1.0,0.7,0.811,0.811,0.811,0.811,0.7
mNB,0.912,0.91,0.91,0.91,0.79,0.896,0.893,0.892,0.892,0.79
ABC,1.0,1.0,1.0,1.0,0.78,0.812,0.81,0.81,0.811,0.78
GBC,1.0,1.0,1.0,1.0,0.81,0.92,0.92,0.919,0.919,0.8
ETC,1.0,1.0,1.0,1.0,0.78,0.946,0.946,0.946,0.946,0.76
BC,1.0,1.0,1.0,1.0,0.82,0.946,0.946,0.946,0.946,0.74
ENS-1,1.0,1.0,1.0,1.0,0.78,0.92,0.92,0.919,0.919,0.78
ENS-2,1.0,1.0,1.0,1.0,0.77,0.92,0.92,0.919,0.919,0.77
