classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.967,0.968,0.966,0.966,0.92,1.0,1.0,1.0,1.0,0.92
gNB,1.0,1.0,1.0,1.0,0.88,0.875,0.889,0.866,0.867,0.88
SVM,0.952,0.952,0.949,0.949,0.9,0.929,0.944,0.932,0.933,0.9
DT,1.0,1.0,1.0,1.0,0.88,0.929,0.944,0.932,0.933,0.88
RF,0.983,0.984,0.983,0.983,0.92,1.0,1.0,1.0,1.0,0.92
KNN,0.868,0.839,0.828,0.831,0.76,0.909,0.833,0.85,0.867,0.76
LDA,0.966,0.966,0.966,0.966,0.78,0.929,0.944,0.932,0.933,0.78
mNB,0.952,0.952,0.949,0.949,0.92,1.0,1.0,1.0,1.0,0.92
ABC,1.0,1.0,1.0,1.0,0.93,0.929,0.944,0.932,0.933,0.93
GBC,1.0,1.0,1.0,1.0,0.9,0.861,0.861,0.861,0.867,0.9
ETC,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.93
BC,0.983,0.984,0.983,0.983,0.85,0.929,0.944,0.932,0.933,0.89
ENS-1,1.0,1.0,1.0,1.0,0.89,0.929,0.944,0.932,0.933,0.89
ENS-2,0.967,0.968,0.966,0.966,0.89,0.929,0.944,0.932,0.933,0.89
