classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.956,0.953,0.953,0.953,0.965,0.966,0.965,0.965
gNB,0.786,0.676,0.636,0.669,0.725,0.625,0.589,0.643
SVM,0.961,0.959,0.96,0.96,0.974,0.976,0.975,0.975
DT,0.985,0.985,0.985,0.985,0.98,0.98,0.98,0.98
RF,0.98,0.98,0.98,0.98,0.955,0.956,0.955,0.955
KNN,0.947,0.947,0.947,0.947,0.915,0.914,0.914,0.915
LDA,0.952,0.947,0.948,0.948,0.97,0.971,0.97,0.97
mNB,0.904,0.902,0.901,0.902,0.91,0.895,0.898,0.899
ABC,0.969,0.968,0.968,0.968,0.965,0.966,0.965,0.965
GBC,0.978,0.977,0.977,0.977,0.98,0.98,0.98,0.98
ETC,0.985,0.985,0.985,0.985,0.98,0.98,0.98,0.98
BC,0.985,0.985,0.985,0.985,0.98,0.98,0.98,0.98
