classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
gNB,0.986,0.987,0.986,0.986,1.0,1.0,1.0,1.0
SVM,0.96,0.958,0.959,0.959,0.962,0.929,0.942,0.947
DT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN,0.925,0.923,0.918,0.918,0.962,0.929,0.942,0.947
LDA,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
mNB,0.96,0.958,0.959,0.959,0.962,0.929,0.942,0.947
ABC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ETC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BC,0.986,0.987,0.986,0.986,0.938,0.958,0.945,0.947
ENS-1,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
ENS-2,0.986,0.987,0.986,0.986,0.962,0.929,0.942,0.947
