classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.93,0.923,0.925,0.926,0.918,0.916,0.914,0.914
gNB,0.897,0.858,0.862,0.867,0.885,0.862,0.855,0.856
SVM,0.948,0.943,0.944,0.945,0.953,0.953,0.952,0.952
DT,0.962,0.957,0.959,0.959,0.959,0.959,0.957,0.957
RF,0.96,0.955,0.956,0.957,0.958,0.958,0.957,0.957
KNN,0.929,0.917,0.92,0.921,0.929,0.926,0.923,0.923
LDA,0.935,0.926,0.928,0.929,0.919,0.917,0.914,0.914
mNB,0.874,0.869,0.87,0.872,0.866,0.867,0.866,0.866
ABC,0.946,0.939,0.941,0.941,0.939,0.939,0.938,0.938
GBC,0.956,0.95,0.952,0.952,0.953,0.953,0.952,0.952
ETC,0.962,0.957,0.959,0.959,0.953,0.953,0.952,0.952
BC,0.96,0.955,0.956,0.957,0.953,0.953,0.952,0.952
